"FileName","Kind","Status","PdfPath","Message"
"006 L  007 R 患者さんとの共同　医療安全.docx","Word","SKIP","C:\Users\user\Desktop\Codex アプリ作成\ポケットマニュアル\PDF\006 L  007 R 患者さんとの共同　医療安全.pdf","PDF already exists"
"008 L キーパーソンについての当院のきまり.docx","Word","SKIP","C:\Users\user\Desktop\Codex アプリ作成\ポケットマニュアル\PDF\008 L キーパーソンについての当院のきまり.pdf","PDF already exists"
"009R  2回チャレンジルールについて.docx","Word","SKIP","C:\Users\user\Desktop\Codex アプリ作成\ポケットマニュアル\PDF\009R  2回チャレンジルールについて.pdf","PDF already exists"
"025 R 流量別シリンジポンプ・輸液ポンプ選択の基準.docx","Word","SKIP","C:\Users\user\Desktop\Codex アプリ作成\ポケットマニュアル\PDF\025 R 流量別シリンジポンプ・輸液ポンプ選択の基準.pdf","PDF already exists"
"046L ころやわ使用基準.docx","Word","SKIP","C:\Users\user\Desktop\Codex アプリ作成\ポケットマニュアル\PDF\046L ころやわ使用基準.pdf","PDF already exists"
"051R 画像診断見落とし対策.doc","Word","SKIP","C:\Users\user\Desktop\Codex アプリ作成\ポケットマニュアル\PDF\051R 画像診断見落とし対策.pdf","PDF already exists"
"055R 誤嚥・窒息予防対策.docx","Word","SKIP","C:\Users\user\Desktop\Codex アプリ作成\ポケットマニュアル\PDF\055R 誤嚥・窒息予防対策.pdf","PDF already exists"
"060L  膀胱留置カテーテル挿入中の尿漏れ時の対応.docx","Word","SKIP","C:\Users\user\Desktop\Codex アプリ作成\ポケットマニュアル\PDF\060L  膀胱留置カテーテル挿入中の尿漏れ時の対応.pdf","PDF already exists"
"082L 感染防止対策　患者に皮膚を引っかかれた時の対応.docx","Word","SKIP","C:\Users\user\Desktop\Codex アプリ作成\ポケットマニュアル\PDF\082L 感染防止対策　患者に皮膚を引っかかれた時の対応.pdf","PDF already exists"
"097R ハラスメント簡易マニュアル　.docx","Word","SKIP","C:\Users\user\Desktop\Codex アプリ作成\ポケットマニュアル\PDF\097R ハラスメント簡易マニュアル　.pdf","PDF already exists"
"109R 院内で使われている医療安全に関するマークや言語の意味.docx","Word","SKIP","C:\Users\user\Desktop\Codex アプリ作成\ポケットマニュアル\PDF\109R 院内で使われている医療安全に関するマークや言語の意味.pdf","PDF already exists"
"0-1 L 目次2026①（表紙右裏）.xlsx","Excel","SKIP","C:\Users\user\Desktop\Codex アプリ作成\ポケットマニュアル\PDF\0-1 L 目次2026①（表紙右裏）.pdf","PDF already exists"
"0-2 R 目次2026 ②.xlsx","Excel","SKIP","C:\Users\user\Desktop\Codex アプリ作成\ポケットマニュアル\PDF\0-2 R 目次2026 ②.pdf","PDF already exists"
"0-3 L 目次2024 ③.xlsx","Excel","SKIP","C:\Users\user\Desktop\Codex アプリ作成\ポケットマニュアル\PDF\0-3 L 目次2024 ③.pdf","PDF already exists"
"001 R 病院の理念　看護部の理念  患者様の権利と義務.xlsx","Excel","SKIP","C:\Users\user\Desktop\Codex アプリ作成\ポケットマニュアル\PDF\001 R 病院の理念　看護部の理念  患者様の権利と義務.pdf","PDF already exists"
"002 L 医療人としての心得.xlsx","Excel","SKIP","C:\Users\user\Desktop\Codex アプリ作成\ポケットマニュアル\PDF\002 L 医療人としての心得.pdf","PDF already exists"
"003 R 説明と同意.xlsx","Excel","SKIP","C:\Users\user\Desktop\Codex アプリ作成\ポケットマニュアル\PDF\003 R 説明と同意.pdf","PDF already exists"
"004 L 時刻合わせ.xlsx","Excel","SKIP","C:\Users\user\Desktop\Codex アプリ作成\ポケットマニュアル\PDF\004 L 時刻合わせ.pdf","PDF already exists"
"005 R  当院の患者誤認防止対策.xlsx","Excel","SKIP","C:\Users\user\Desktop\Codex アプリ作成\ポケットマニュアル\PDF\005 R  当院の患者誤認防止対策.pdf","PDF already exists"
"010L 口頭指示受けの手順.xlsx","Excel","SKIP","C:\Users\user\Desktop\Codex アプリ作成\ポケットマニュアル\PDF\010L 口頭指示受けの手順.pdf","PDF already exists"
